Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240401T062443,BK,0.320139,0.274508
20240403T123000,DLR,0.22472,0.134548
20240401T093000,MET,0.196408,0.128102
20240401T130000,NUE,0.356731,0.45449
20240404T132600,D,0.345216,0.234573
20240402T220016,STZ,0.173505,0.229244
20240401T103000,IDXX,0.199018,0.065521
20240404T170000,FIS,0.466139,0.075245
20240401T104200,AME,0.330653,0.337342
20240401T125010,PSA,0.386392,0.340369
20240401T140023,LHX,0.238974,0.384186
20240401T164355,CCI,0.056622,-0.05296
20240401T082400,A,0.249637,0.058925
20240402T131002,GIS,0.195523,0.070974
20240401T051100,COR,0.25406,0.03971
20240401T062444,PRU,0.230108,0.23186
20240401T093300,YUM,0.168618,0.0
20240404T110000,CMI,0.352684,0.075553
20240401T215900,CNC,0.038829,0.068446
20240403T141600,MNST,0.391975,0.633935
20240401T170129,RSG,0.166391,-0.038556
20240401T120300,FAST,0.205205,0.295886
20240401T170129,SYY,0.166391,-0.038556
20240401T102007,LEN,0.137795,0.059168
20240401T083000,PAYX,0.077647,0.0
20240401T144800,PWR,0.127443,0.0
20240408T162400,CSGP,0.333038,0.168072
20240401T063000,HUM,0.091917,0.0
20240405T220900,MLM,0.08972,0.092157
20240403T131200,EXC,0.255266,0.049411
20240401T170900,PCG,-0.062824,0.060902
20240402T150700,KR,0.346385,0.134803
20240401T154015,IT,0.509568,0.625896
20240401T135600,VMC,0.373303,0.423585
20240401T133010,HAL,0.275457,0.166864
20240401T072700,DVN,0.13064,0.222799
20240401T215000,PEG,0.178849,0.038822
20240404T110000,ACGL,0.354924,0.164521
20240401T164900,CTSH,0.324524,0.502687
20240401T101500,RCL,0.154945,0.251252
20240401T122200,BKR,0.101331,0.007816
20240412T161514,ODFL,0.285495,0.144124
20240415T142900,GPN,0.325832,0.190159
20240402T210128,ROK,0.262016,0.083836
20240410T133300,ED,0.272298,0.169799
20240401T215019,ADM,0.133554,0.022607
20240401T164400,RMD,0.202094,0.215214
20240401T201940,DD,0.014539,-0.027933
20240401T070400,EA,0.594014,0.111508
20240402T220018,PPG,0.214452,0.272457
20240401T110000,BIIB,0.156261,-0.005993
20240403T131200,XEL,0.255266,0.049411
20240401T120300,TSCO,0.205205,0.295886
20240403T145700,WAB,0.262473,0.316269
20240401T122700,ON,-0.035829,0.008986
20240404T130000,ANSS,0.297444,0.085782
20240405T174000,HIG,0.274381,0.052269
20240403T123000,EXR,0.22472,0.134548
20240401T090700,HSY,0.261155,0.338406
20240402T160033,FICO,0.238974,0.384186
20240401T210859,EFX,0.350074,0.16896
20240401T103000,EBAY,0.059264,-0.063054
20240419T143300,AVB,0.176233,0.096031
20240405T150028,EIX,0.28994,0.31675
20240420T053046,MTD,0.254405,0.027399
20240412T123000,WST,0.218211,0.0
20240401T133005,CBRE,0.271463,0.137237
20240418T180900,WTW,0.194956,0.073888
20240410T154009,WEC,0.472052,0.454933
20240401T121500,CAH,0.226527,0.043915
20240403T090400,DLTR,0.029116,0.00889
20240401T201500,DOV,0.356026,0.0
20240402T061044,FITB,0.247529,0.359086
20240402T123500,ZBH,0.190379,0.028261
20240401T214521,PHM,0.252519,0.318858
20240401T135600,NVR,0.373303,0.423585
