Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240401T062443,BK,0.320139,0.274508
20240327T163017,DLR,0.264463,0.076938
20240330T090045,MET,0.296369,0.254726
20240330T201144,NUE,0.177466,-0.090297
20240331T083000,D,0.324283,0.413111
20240325T220019,STZ,0.167715,0.198616
20240327T183026,IDXX,0.238974,0.384186
20240328T153037,FIS,0.024046,0.061923
20240328T153500,AME,0.332578,0.548561
20240331T111500,PSA,0.278654,0.353058
20240327T102007,LHX,0.18684,0.079001
20240328T170403,CCI,0.239412,-0.055699
20240330T014500,A,0.26396,0.095987
20240328T225900,GIS,0.199992,0.145341
20240401T051100,COR,0.25406,0.03971
20240401T062444,PRU,0.230108,0.23186
20240328T201027,YUM,0.369074,0.125076
20240328T123907,CMI,0.165296,0.527886
20240329T202800,CNC,0.536738,0.401014
20240331T081000,MNST,0.302052,0.502351
20240325T131500,RSG,0.170195,0.041532
20240326T163013,FAST,0.238974,0.384695
20240328T080000,SYY,0.375756,0.671936
20240331T095000,LEN,0.326109,0.271482
20240329T210708,PAYX,0.078576,-0.043514
20240327T025648,PWR,0.237811,0.126314
20240329T153027,CSGP,0.107933,0.281037
20240401T063000,HUM,0.091917,0.0
20240329T160643,MLM,0.271165,0.019339
20240326T170033,EXC,0.289997,0.151778
20240325T131743,PCG,0.163022,0.35479
20240329T171400,KR,0.290045,0.159213
20240329T085500,IT,0.342214,0.12571
20240328T190800,VMC,0.232887,0.34765
20240330T090043,HAL,0.334599,0.226733
20240330T090200,DVN,0.176296,0.0
20240328T190013,PEG,0.193103,-0.018513
20240328T213022,ACGL,0.238974,0.383648
20240328T152400,CTSH,0.383533,0.57232
20240329T154008,RCL,0.477948,0.521372
20240331T120000,BKR,0.112388,0.115011
20240327T163022,ODFL,0.238974,0.38308
20240327T184914,GPN,0.119067,0.043921
20240326T101015,ROK,0.318645,0.276911
20240328T201523,ED,0.287757,0.148634
20240328T154500,ADM,0.20509,0.0
20240328T203026,RMD,0.238974,0.384695
20240331T172825,DD,0.094142,0.069477
20240328T132500,EA,0.086647,0.07667
20240325T220022,PPG,0.202829,0.273901
20240330T070000,BIIB,0.052986,-0.018683
20240326T183012,XEL,0.026338,-0.249175
20240330T114500,TSCO,0.279492,0.307988
20240315T153040,WAB,0.201654,0.227663
20240328T133010,ON,0.261931,0.20085
20240330T061844,ANSS,0.307779,0.229317
20240322T093400,HIG,0.327602,0.143201
20240330T091300,EXR,0.25254,0.216822
20240331T110000,HSY,0.250976,0.308598
20240323T204300,FICO,0.082776,0.054671
20240331T213200,EFX,0.007259,0.076219
20240331T103000,EBAY,0.295989,0.40387
20240321T133017,AVB,0.262256,0.079385
20240328T133748,EIX,0.452641,0.61741
20240331T061042,MTD,0.294013,0.203318
20240329T153028,WST,0.201581,0.115718
20240329T135006,CBRE,0.259207,0.114917
20240307T163109,WTW,0.264063,0.200919
20240325T154011,WEC,0.435364,0.487953
20240329T102006,CAH,0.330798,0.060317
20240329T162741,DLTR,0.05784,-0.080094
20240323T101244,DOV,0.267057,0.17009
20240330T090043,FITB,0.313046,0.187134
20240327T162300,ZBH,0.261595,0.27015
20240329T200023,PHM,0.238974,0.384695
20240328T142700,NVR,0.449718,0.637292
20240329T153032,HPQ,0.033444,-0.019696
20240401T062447,GLW,0.245449,0.158287
20240331T091643,RJF,0.339626,0.368567
20240330T090600,WDC,0.199522,-0.059286
20240328T204924,TTWO,0.250534,0.331057
20240326T173023,WY,0.264538,0.081887
20240401T062447,STT,0.330155,0.203533
20240329T131500,IRM,0.145423,0.02524
20240326T140000,DTE,0.258154,0.0
20240328T011741,ETR,0.121848,0.0
20240331T142922,GPC,0.380268,0.274
20240326T124400,ALGN,0.27806,0.142875
20240327T102005,GRMN,0.319966,0.060813
20240325T080000,BALL,0.357032,0.454558
20240328T220019,HUBB,0.203402,0.310985
20240330T131619,AXON,0.157333,0.054814
20240329T145802,IFF,0.050673,0.065107
20240328T102006,PTC,0.284983,0.068777
20240329T163012,DECK,0.238974,0.384186
20240328T155402,CTRA,0.289238,0.162938
20240327T153024,SBAC,0.166441,0.124119
20240328T202517,NTAP,0.334214,0.198039
20240328T061843,ES,0.299195,0.208572
20240327T221519,STLD,0.208546,0.253675
20240401T064500,BAX,0.048464,0.224052
20240328T151700,STE,0.194287,0.055747
20240329T102006,MOH,0.330798,0.060317
20240325T131000,PPL,0.270028,0.093426
20240326T143200,FE,0.298193,0.207001
20240330T014500,ILMN,0.26396,0.095987
20240320T142000,TYL,0.265017,0.163004
20240329T134011,BRO,0.199014,0.343084
20240329T154505,AEE,0.394969,0.480764
20240327T141219,OMC,0.045344,-0.001027
20240328T154400,DRI,-0.045821,-0.102676
20240329T161500,WAT,0.121118,0.0
20240329T134012,J,0.414846,0.323045
20240319T135700,RF,0.308434,-0.04887
20240327T134012,CNP,0.367992,0.236614
20240330T124500,CLX,0.288688,0.075407
20240328T123000,ARE,0.356204,0.17707
20240327T130014,HOLX,0.219383,0.142913
20240328T075644,AVY,0.293564,0.036599
20240401T035100,VTR,0.002322,0.0
20240329T141513,TDY,0.262256,0.079385
20240321T150146,COO,0.290458,0.226055
20240320T172400,TER,0.174907,0.106564
20240325T140500,CINF,0.225031,0.143912
20240331T060000,DPZ,0.488104,0.230282
20240401T070000,ATO,0.378164,0.16726
20240401T032703,CMS,0.298751,0.168515
20240401T062443,PFG,0.401836,0.303962
20240329T134013,TSN,0.362325,0.372541
20240401T062447,NTRS,0.330155,0.203533
20240330T001500,TXT,0.212919,0.051634
20240328T154152,LH,0.369392,0.322625
20240326T152718,LVS,0.286061,0.402939
20240323T200200,EQT,0.196202,0.301659
20240329T061244,SWKS,0.222047,0.039002
20240327T131500,STX,0.295072,0.352834
20240325T180022,IEX,0.238974,0.384695
20240322T212900,EXPD,0.396179,0.186361
20240329T153031,NRG,0.089519,0.304912
20240401T070000,MRO,0.27052,0.0627
20240330T154439,LUV,-0.036526,-0.095397
20240329T170021,FDS,0.238974,0.383648
20240331T111500,ESS,0.278654,0.353058
20240319T201500,EG,0.339839,0.219567
20240328T134512,MAS,0.385461,0.0
20240327T220021,VRSN,0.197885,0.311201
20240315T115500,PKG,0.306232,0.120994
20240326T221517,AKAM,0.156939,0.109101
20240325T060000,ZBRA,0.361422,0.05646
20240325T144513,K,0.266789,0.133077
20240328T161440,CCL,0.192544,0.172054
20240326T142300,JBL,0.44761,0.149234
20240316T090500,MAA,0.402457,0.502405
20240331T124500,TRMB,0.338063,0.422697
20240328T101500,DGX,-0.097222,0.0
20240328T161700,BG,0.269648,0.248073
20240329T131503,CAG,0.112063,-0.017616
20240331T170231,BBY,0.059291,0.064216
20240223T162700,POOL,0.00478,-0.084844
20240326T055251,SNA,0.343551,0.244904
20240330T090046,NDSN,0.290077,0.206694
20240329T153030,VTRS,0.096637,0.051914
20240318T142300,L,0.495449,0.326944
20240330T200100,SWK,0.25265,0.451759
20240401T062446,KEY,0.30195,0.063601
20240329T182300,ALB,0.582545,0.125031
20240328T155000,HST,0.24043,0.15063
20240228T072951,DOC,0.289979,0.026238
20240328T102006,PNR,0.229461,0.069019
20240401T051100,WBA,0.25406,0.03971
20240327T135012,ROL,0.391673,0.065786
20240321T133900,RVTY,0.282755,0.119825
20240326T142300,LNT,0.245219,0.38375
20240328T155000,KIM,0.24043,0.15063
20240328T142300,JKHY,0.369255,0.457989
20240326T040537,EVRG,0.089624,-0.019538
20240328T143051,IP,0.179677,0.0
20240222T161123,LKQ,0.089809,0.312061
20240327T200100,CRL,-0.019217,0.049387
20240328T080000,GEN,0.389312,0.130676
20240328T152200,TAP,0.413187,0.317131
20240328T102007,AES,0.197051,0.061385
20240318T162100,UDR,0.272498,0.264269
20240327T094700,EMN,0.161506,0.114295
20240328T202631,MGM,0.39071,0.378584
20240328T153047,NI,0.150162,-0.003706
20240401T062446,JNPR,0.30195,0.063601
20240331T083100,KMX,-0.122823,-0.028443
20240306T140820,FFIV,0.27505,0.212684
20240316T104500,CPT,0.289856,0.32566
20240329T100000,BBWI,0.360952,0.151948
20240331T083500,HRL,0.348727,0.209156
20240328T153045,UHS,0.284008,0.475199
20240328T101500,TECH,-0.097222,0.0
20240321T152000,APA,0.327959,0.155598
20240322T153043,MOS,0.012038,0.155217
20240328T103000,TFX,0.271355,0.439111
